SKU                   vCPUs  FamAvail  TotAvail  QuotaOK  Price     Currency  Reason
Standard_B2als_v2     2      2         14        yes      0.036713  EUR       OK (Familien-Quota ausreichend)
Standard_B2as_v2      2      2         14        yes      0.073426  EUR       OK (Familien-Quota ausreichend)
Standard_B2ats_v2     2      2         14        yes      0.009178  EUR       OK (Familien-Quota ausreichend)
Standard_B2ls_v2      2      2         14        yes      0.040792  EUR       OK (Familien-Quota ausreichend)
Standard_B2s_v2       2      2         14        yes      0.081584  EUR       OK (Familien-Quota ausreichend)
Standard_B2ts_v2      2      2         14        yes      0.010198  EUR       OK (Familien-Quota ausreichend)
Standard_D2ads_v6     2      10        14        yes      0.117277  EUR       OK (Familien-Quota ausreichend)
Standard_D2ads_v7     2      10        14        yes      0.117277  EUR       OK (Familien-Quota ausreichend)
Standard_D2alds_v6    2      10        14        yes      0.097731  EUR       OK (Familien-Quota ausreichend)
Standard_D2alds_v7    2      10        14        yes      0.097731  EUR       OK (Familien-Quota ausreichend)
Standard_D2als_v6     2      10        14        yes      0.082604  EUR       OK (Familien-Quota ausreichend)
Standard_D2als_v7     2      10        14        yes      0.082604  EUR       OK (Familien-Quota ausreichend)
Standard_D2as_v4      2      10        14        yes      n/a       EUR       OK (Familien-Quota ausreichend)
Standard_D2as_v6      2      10        14        yes      0.093482  EUR       OK (Familien-Quota ausreichend)
Standard_D2as_v7      2      10        14        yes      0.093482  EUR       OK (Familien-Quota ausreichend)
Standard_D2ds_v4      2      10        14        yes      0.115577  EUR       OK (Familien-Quota ausreichend)
Standard_D2ds_v6      2      10        14        yes      0.126625  EUR       OK (Familien-Quota ausreichend)
Standard_D2d_v4       2      10        14        yes      0.115577  EUR       OK (Familien-Quota ausreichend)
Standard_D2lds_v6     2      10        14        yes      0.107079  EUR       OK (Familien-Quota ausreichend)
Standard_D2ls_v6      2      10        14        yes      0.086683  EUR       OK (Familien-Quota ausreichend)
Standard_D2pds_v6     2      10        14        yes      0.093482  EUR       OK (Familien-Quota ausreichend)
Standard_D2plds_v6    2      10        14        yes      0.079205  EUR       OK (Familien-Quota ausreichend)
Standard_D2pls_v6     2      10        14        yes      0.063058  EUR       OK (Familien-Quota ausreichend)
Standard_D2ps_v6      2      10        14        yes      0.071216  EUR       OK (Familien-Quota ausreichend)
Standard_D2s_v3       2      10        14        yes      n/a       EUR       OK (Familien-Quota ausreichend)
Standard_D2s_v4       2      10        14        yes      0.097731  EUR       OK (Familien-Quota ausreichend)
Standard_D2s_v6       2      10        14        yes      0.10283   EUR       OK (Familien-Quota ausreichend)
Standard_D2_v3        2      10        14        yes      0.097731  EUR       OK (Familien-Quota ausreichend)
Standard_D2_v4        2      10        14        yes      0.097731  EUR       OK (Familien-Quota ausreichend)
Standard_E2ads_v6     2      10        14        yes      0.148721  EUR       OK (Familien-Quota ausreichend)
Standard_E2ads_v7     2      10        14        yes      0.148721  EUR       OK (Familien-Quota ausreichend)
Standard_E2as_v4      2      10        14        yes      n/a       EUR       OK (Familien-Quota ausreichend)
Standard_E2as_v6      2      10        14        yes      0.122376  EUR       OK (Familien-Quota ausreichend)
Standard_E2as_v7      2      10        14        yes      0.122376  EUR       OK (Familien-Quota ausreichend)
Standard_E2bds_v5     2      10        14        yes      0.169117  EUR       OK (Familien-Quota ausreichend)
Standard_E2bs_v5      2      10        14        yes      0.151271  EUR       OK (Familien-Quota ausreichend)
Standard_E2ds_v4      2      10        14        yes      0.147021  EUR       OK (Familien-Quota ausreichend)
Standard_E2ds_v6      2      10        14        yes      0.167417  EUR       OK (Familien-Quota ausreichend)
